시군명,기준년월,월별충전액,월별사용액,인센티브율(%)
군포시,2019-04,736934000.0,160255000.0,6
군포시,2019-03,,,6
군포시,2019-02,,,6
군포시,2019-01,,,6
김포시,2022-12,,,10
김포시,2022-11,,,10
김포시,2022-10,,,10
김포시,2022-09,,,10
김포시,2022-08,,,10
김포시,2022-07,0.0,0.0,10
김포시,2022-06,,,10
김포시,2022-05,,,10
김포시,2022-04,,,10
김포시,2022-03,,,10
김포시,2022-02,,,10
김포시,2022-01,,,10
김포시,2021-12,,,10
김포시,2021-11,,,10
김포시,2021-10,,,10
김포시,2021-09,,,10
김포시,2021-08,,,10
김포시,2021-07,,,10
김포시,2021-06,,,10
김포시,2021-05,,,10
김포시,2021-04,,,10
김포시,2021-03,,,10
김포시,2021-02,,,10
김포시,2021-01,,,10
김포시,2020-12,,,10
김포시,2020-11,,,10
김포시,2020-10,,,10
김포시,2020-09,,,10
김포시,2020-08,,,10
김포시,2020-07,,,10
김포시,2020-06,,,10
김포시,2020-05,,,10
김포시,2020-04,,,10
김포시,2020-03,,,10
김포시,2020-02,,,10
김포시,2020-01,,,10
김포시,2019-12,,,6
김포시,2019-11,,,6
김포시,2019-10,,,6
김포시,2019-09,,,6
김포시,2019-08,,,6
김포시,2019-07,,,6
김포시,2019-06,,,6
김포시,2019-05,,,6
김포시,2019-04,,,6
김포시,2019-03,,,6
김포시,2019-02,,,6
김포시,2019-01,,,6
남양주시,2022-12,22715053000.0,21689647000.0,10
남양주시,2022-11,19313503000.0,20646873000.0,10
남양주시,2022-10,21610071000.0,22417038000.0,10
남양주시,2022-09,22975537000.0,22583510000.0,10
남양주시,2022-08,13575381000.0,23333168000.0,10
남양주시,2022-07,39808722000.0,29306070000.0,10
남양주시,2022-06,27266318000.0,23688022000.0,10
남양주시,2022-05,23608793000.0,24752046000.0,10
남양주시,2022-04,24129408000.0,23207255000.0,10
남양주시,2022-03,22689503000.0,21945623000.0,10
남양주시,2022-02,18315029000.0,18109985000.0,10
남양주시,2022-01,19937736000.0,20515198000.0,10
남양주시,2021-12,18684809000.0,19642584000.0,10
남양주시,2021-11,19395154000.0,17522613000.0,10
남양주시,2021-10,13794057000.0,13864451000.0,10
남양주시,2021-09,15874744000.0,13962548000.0,10
남양주시,2021-08,16988378000.0,17107265000.0,10
남양주시,2021-07,14971346000.0,18117107000.0,10
남양주시,2021-06,22569619000.0,20472661000.0,10
남양주시,2021-05,17191981000.0,16884325000.0,10
남양주시,2021-04,17224083000.0,15724417000.0,10
남양주시,2021-03,13258949000.0,14170614000.0,10
남양주시,2021-02,11003701000.0,8977763000.0,10
남양주시,2021-01,9384739000.0,11482739000.0,10
남양주시,2020-12,14678545000.0,12146070000.0,10
남양주시,2020-11,12737052000.0,12087602000.0,10
남양주시,2020-10,11228473000.0,12100844000.0,10
남양주시,2020-09,10885317000.0,11080752000.0,10
남양주시,2020-08,7655048000.0,9086630000.0,10
남양주시,2020-07,12018669000.0,9986295000.0,10
남양주시,2020-06,8817257000.0,7722837000.0,10
남양주시,2020-05,9153440000.0,7633818000.0,10
남양주시,2020-04,6028294000.0,3984384000.0,10
남양주시,2020-03,3607498000.0,2855760000.0,10
남양주시,2020-02,3016233000.0,2536472000.0,10
남양주시,2020-01,2468440000.0,2822584000.0,10
남양주시,2019-12,3936730000.0,2669880000.0,6
남양주시,2019-11,1571787000.0,2183736000.0,6
남양주시,2019-10,3434683000.0,1922439000.0,6
남양주시,2019-09,1644304000.0,1233830000.0,6
남양주시,2019-08,645594000.0,1403210000.0,6
남양주시,2019-07,2021227000.0,1383395000.0,6
남양주시,2019-06,601904000.0,1196121000.0,6
남양주시,2019-05,3084237000.0,978176000.0,6
남양주시,2019-04,188922000.0,8609000.0,6
남양주시,2019-03,,,6
남양주시,2019-02,,,6
남양주시,2019-01,,,6
동두천시,2022-12,2802539000.0,2797381000.0,10
동두천시,2022-11,2401828000.0,2652002000.0,10
동두천시,2022-10,2605942000.0,2831027000.0,10
동두천시,2022-09,2918715000.0,2961401000.0,10
동두천시,2022-08,2399150000.0,3574799000.0,10
동두천시,2022-07,6034439000.0,5122751000.0,10
동두천시,2022-06,3961350000.0,2204496000.0,10
동두천시,2022-05,2139459000.0,2120578000.0,10
동두천시,2022-04,2004068000.0,1975849000.0,10
동두천시,2022-03,1776568000.0,1856081000.0,10
동두천시,2022-02,1455419000.0,1639024000.0,10
동두천시,2022-01,2068264000.0,1999176000.0,10
동두천시,2021-12,2038965000.0,2166765000.0,10
동두천시,2021-11,2069221000.0,1928420000.0,10
동두천시,2021-10,1781527000.0,1352069000.0,10
동두천시,2021-09,1105268000.0,1104481000.0,10
동두천시,2021-08,1661781000.0,1637537000.0,10
동두천시,2021-07,1574349000.0,1811759000.0,10
동두천시,2021-06,2276130000.0,2201876000.0,10
동두천시,2021-05,1782354000.0,1678906000.0,10
동두천시,2021-04,1724073000.0,1671995000.0,10
동두천시,2021-03,1222961000.0,1479083000.0,10
동두천시,2021-02,1015736000.0,1480880000.0,10
동두천시,2021-01,2146587000.0,1370105000.0,10
동두천시,2020-12,1600360000.0,1345105000.0,10
동두천시,2020-11,1055921000.0,922641000.0,10
동두천시,2020-10,959612000.0,999513000.0,10
동두천시,2020-09,1045748000.0,946626000.0,10
동두천시,2020-08,677602000.0,769322000.0,10
동두천시,2020-07,951445000.0,972710000.0,10
동두천시,2020-06,752878000.0,739008000.0,10
동두천시,2020-05,844959000.0,779316000.0,10
동두천시,2020-04,631372000.0,398864000.0,10
동두천시,2020-03,378383000.0,380922000.0,10
동두천시,2020-02,336796000.0,356096000.0,10
동두천시,2020-01,495930000.0,388233000.0,10
동두천시,2019-12,461713000.0,341334000.0,6
동두천시,2019-11,224000000.0,305841000.0,6
동두천시,2019-10,438698000.0,286950000.0,6
